ID,Column1,Subject,Are you Malaysian above 18 years old?,hometown,vote,continue class as usual during 17 - 21 Nov 2022. ,I agree to have online class replacement for the leaves during General Election 15.
1,F220081C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
2,D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
3,F220146C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
4,D220024A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
5,B210076B,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),
6,B220173C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
7,F220087C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
8,F220074C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
9,F220074C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
10,D220141B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
11,B210192C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),
12,B220091B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
13,F220032B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
14,F220088C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),
15,F220113C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
16,D220014A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
17,F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
18,F210051C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
19,B220180C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
20,F220139C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
21,F220099C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
22,B220164C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),No
23,F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
24,D200026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
25,F220123C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
26,F220148C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
27,D220101B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
28,B190196C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
29,B210086B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
30,F220086C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
31,F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
32,F220047B,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
33,ep190021,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
34,B220186C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),No
35,F220007A,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
36,D220026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
37,D200104B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
38,F220159C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
39,F220159C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
40,F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
41,9F220100,Programming Logic and Design FACS1003,No,,,,
42,D220103B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
43,F220080C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
44,F220101C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
45,F220080C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
46,F220101C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
47,F220014A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,No (Disagree),Yes
48,D220002A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
49,D220137B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
50,F220151C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),No
51,F220151C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),No
52,B220070A,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),
53,D200143B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
54,B220107B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
55,F220118C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
56,F220094C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,No,,,,
57,F220094C,Programming Logic and Design FACS1003,No,,,,
58,F220156C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
59,F220083C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),No
60,F220073C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
61,F220073C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
62,F220127C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),
63,F220174C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
64,F220137C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
65,F220114C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
66,F220005A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
67,F220121C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
68,B220162C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),No
69,B220058A,Project Management BTIS2033,Yes,Johor Bahru,Yes,No (Disagree),Yes
70,F220105C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
71,B210201C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
72,D220035A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
73,F220065B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
74,D220082A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
75,F220171C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
76,F220171C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
77,B220038B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,No,Yes (Agree),
78,F220084C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
79,F220172C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
80,F220055B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
81,B220042A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),
82,F220034B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
83,B210230C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
84,F220169C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
85,F220169C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
86,B210254C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
87,B210059A,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),
88,B210198C,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),
89,F220070C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
90,D220067A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
91,9F220100,Programming Logic and Design FACS1003,No,,,,
92,F220138C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
93,F220122C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
94,F220138C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
95,F220153C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
96,F220057B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
97,F220144C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
98,F220154C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
99,F220175C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
100,F220167C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
101,D220121B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
102,D220115B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
103,D220100B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),
104,F220069B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
105,B210151B,Project Management BTIS2033,Yes,not Johor Bahru,Yes,Yes (Agree),
106,F220155C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
107,B210064A,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
108,B210249C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
109,B210157B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
110,B210248C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
111,B210094B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
112,B210131B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),
113,B210001A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),
114,B210206C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),
115,D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
116,B220108B,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,No,Yes (Agree),
117,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
118,B220136C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
119,B220177C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,Yes (Agree),
120,B220003A,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),
121,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
122,B220188C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),Yes
123,F220020A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
124,F220099C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
125,F220162C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
126,F220162C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
127,F220134C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,No,,,,
128,F220142C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),
129,F220134C,Programming Logic and Design FACS1003,No,,,,
130,F220107C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
131,F220124C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
132,F220082C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
133,F220163C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),
134,F220131C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
135,F220143C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
136,F220108C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),
137,F220108C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),
138,F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
139,F220181C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,No (Disagree),Yes
140,F220120C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),No
141,F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
142,F220094C,Programming Logic and Design FACS1003,No,,,,
143,F220005A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
144,F220122C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
145,F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
146,F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
147,F220003A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
148,F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),
149,F220133C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
150,F220166C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),
151,F220127C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),
152,F220025B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),
153,F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
